PR_Number,PR_MU_Number,CWT_Code,Number_Released,Release_name,Hatchery_name,Stock_name,brood_year,StockID,Name
25,2,'185151,22943,R-Snootli Cr,H-Snootli Creek H,S-Snootli Cr,2006,234,M-bccnhw
23,2,'185172,52284,R-Coldwater R,H-Chilliwack River H,S-Coldwater R,2017,230,M-frsuph
23,2,'185173,46039,R-Coldwater R,H-Chilliwack River H,S-Coldwater R,2017,230,M-frsuph
22,2,'185218,24639,R-Inch Cr,H-Inch Creek H,S-Inch Cr,2004,226,M-frslwh
18,2,'185264,14425,R-Quinsam R,H-Quinsam River H,S-Quinsam R,2016,210,M-gsvcih
18,2,'185265,14420,R-Quinsam R,H-Quinsam River H,S-Quinsam R,2016,210,M-gsvcih
22,2,'185299,54523,R-Inch Cr,H-Inch Creek H,S-Inch Cr,2017,226,M-frslwh
26,2,'185308,41864,R-Buck Cr,H-Toboggan Creek H,S-Bulkley R Up,2001,236,M-bcnchw
20,2,'185309,40272,R-Robertson Cr,H-Robertson Creek H,S-Robertson Cr,2006,218,M-swvcih
18,2,'185310,42566,R-Big Qualicum R,H-Big Qualicum River H,S-Big Qualicum R,2001,210,M-gsvcih
23,2,'185313,35838,R-Coldwater R,H-Spius Creek H,S-Coldwater R,2001,230,M-frsuph
22,2,'185314,39819,R-Inch Cr,H-Inch Creek H,S-Inch Cr,2001,226,M-frslwh
25,2,'185318,1777,R-Martin R,NA,S-Martin R,2001,234,M-bccnhw
25,2,'185320,2451,R-Johnston Est,H-Johnston Estuary Seapen,S-Johnston Cr,2007,234,M-bccnhw
25,2,'185321,1323,R-Johnston Est,H-Johnston Estuary Seapen,S-Johnston Cr,2007,234,M-bccnhw
25,2,'185324,1956,R-McLoughlin Bay,H-McLaughlin Bay Seapen,S-McLoughlin Bay Cr,2001,234,M-bccnhw
25,2,'185325,5722,R-Martin R,NA,S-Martin R,2001,234,M-bccnhw
25,2,'185326,3545,R-Martin R,NA,S-Martin R,2001,234,M-bccnhw
19,4,'185328,9389,R-Keogh R,NA,S-Keogh R,2001,216,M-jnstrw
19,4,'185329,10156,R-Keogh R,NA,S-Keogh R,2001,216,M-jnstrw
19,4,'185330,10433,R-Keogh R,NA,S-Keogh R,2001,216,M-jnstrw
18,2,'185337,32053,R-Quinsam R,H-Quinsam River H,S-Quinsam R,2001,210,M-gsvcih
