PR_Number,PR_MU_Number,CWT_Code,Number_Released,Release_name,Hatchery_name,Stock_name,brood_year,StockID,Name
16,2,'011044,26907,BURNT HILL CR (OPSR),ORE-PAC SALMON RANCH,NESTUCCA R PRIVATE,1995,194,M-oresoh
26,2,'020509,4931,R-Buck Cr,H-Toboggan Creek H,S-Bulkley R Up,2001,236,M-bcnchw
22,2,'023245,39501,R-Kanaka Cr,H-Bell-Irving Kanaka Cr H,S-Kanaka Cr,1994,226,M-frslwh
26,2,'026330,5000,R-Torney Cr,H-Eden Lake H,S-Torney Cr,1999,236,M-bcnchw
31,2,'030101,2038,AUKE LK 111-50,AUKE CREEK,AUKE CR,1997,240,M-niakhw
31,2,'030111,399,AUKE LK 111-50,AUKE CREEK,AUKE CR,1998,240,M-niakhw
33,2,'030158,11489,KETCHIKAN CR 101-47,DEER MOUNTAIN,KETCHIKAN CR,2003,244,M-siakhw
31,2,'035605,7860,JORDAN CR 111-50,NA,JORDAN CR 111-50,2000,240,M-niakhw
31,2,'035606,332,DUCK CR 111-50,NA,DUCK CR 111-50,2000,240,M-niakhw
31,2,'035607,632,SWITZER CR 111-40,NA,SWITZER CR 111-40,2000,240,M-niakhw
32,2,'040118,9631,CRESCENT BAY 113-41,SHELDON JACKSON,SHELDON JACKSON H,1996,242,M-noakhw
33,2,'040120,11053,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1998,244,M-siakhw
31,2,'040121,673,DUCK CR 111-50,NA,DUCK CR 111-50,1996,240,M-niakhw
31,2,'040122,781,DREDGE LK 111-50,NA,DREDGE LK 111-50,1996,240,M-niakhw
31,2,'040123,10029,CHILKAT R 115-32,NA,CHILKAT R 115-32,1997,240,M-niakhw
31,2,'040124,9771,CHILKAT R 115-32,NA,CHILKAT R 115-32,1997,240,M-niakhw
30,2,'040126,11081,TAKU R 111-32,NA,TAKU R 111-32,1997,238,M-tranhw
30,2,'040127,10059,TAKU R 111-32,NA,TAKU R 111-32,1997,238,M-tranhw
31,2,'040128,4078,CHILKAT LK 115-32,NA,CHILKAT R 115-32,1997,240,M-niakhw
32,2,'040129,11186,TAWAH CR 182-80,NA,TAWAH CR 182-80,1997,242,M-noakhw
32,2,'040130,11494,TAWAH CR 182-80,NA,TAWAH CR 182-80,1997,242,M-noakhw
30,2,'040131,7631,TAKU R 111-32,NA,TAKU R 111-32,1997,238,M-tranhw
30,2,'040132,1916,TAKU R 111-32,NA,TAKU R 111-32,1997,238,M-tranhw
30,2,'040133,104,TAKU R 111-32,NA,TAKU R 111-32,1998,238,M-tranhw
31,2,'040134,1998,CHILKAT R 115-32,NA,CHILKAT R 115-32,1997,240,M-niakhw
33,2,'040135,11051,STIKINE R 108-40,NA,STIKINE R 108-40,1998,244,M-siakhw
31,2,'040136,4862,AUKE CR 111-50,NA,AUKE CR,1998,240,M-niakhw
33,2,'040137,6409,STIKINE R 108-40,NA,STIKINE R 108-40,1998,244,M-siakhw
32,2,'040138,7876,TAWAH CR 182-80,NA,TAWAH CR 182-80,1997,242,M-noakhw
33,2,'040143,10877,UNUK R 101-75,NA,UNUK R 101-75,1997,244,M-siakhw
33,2,'040146,33608,CRYSTAL CR 106-44,CRYSTAL LAKE,CRYSTAL CR,1997,244,M-siakhw
33,2,'040151,20405,KETCHIKAN CR 101-47,DEER MOUNTAIN,KETCHIKAN CR,1997,244,M-siakhw
33,2,'040153,30803,WARD LK 101-47,DEER MOUNTAIN,KETCHIKAN CR,1997,244,M-siakhw
32,2,'040164,3354,CRESCENT BAY 113-41,SHELDON JACKSON,SHELDON JACKSON H,1999,242,M-noakhw
31,2,'040168,5684,AUKE CR 111-50,NA,AUKE CR,1999,240,M-niakhw
33,2,'040169,21732,WARD LK 101-47,DEER MOUNTAIN,KETCHIKAN CR,1999,244,M-siakhw
33,2,'040170,21458,KETCHIKAN CR 101-47,DEER MOUNTAIN,KETCHIKAN CR,1999,244,M-siakhw
33,2,'040172,10066,CRYSTAL CR 106-44,CRYSTAL LAKE,CRYSTAL CR,1999,244,M-siakhw
33,2,'040173,11259,CRYSTAL CR 106-44,CRYSTAL LAKE,CRYSTAL CR,1999,244,M-siakhw
33,2,'040174,9131,CRYSTAL CR 106-44,CRYSTAL LAKE,CRYSTAL CR,1999,244,M-siakhw
33,2,'040189,10668,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1999,244,M-siakhw
33,2,'040190,10629,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1999,244,M-siakhw
33,2,'040191,10636,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1999,244,M-siakhw
33,2,'040192,10747,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1999,244,M-siakhw
33,2,'040193,10563,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1999,244,M-siakhw
33,2,'040194,9792,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1999,244,M-siakhw
33,2,'040195,10515,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1999,244,M-siakhw
33,2,'040196,10784,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1999,244,M-siakhw
33,2,'040216,10240,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1997,244,M-siakhw
33,2,'040217,10855,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1997,244,M-siakhw
33,2,'040218,5808,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1997,244,M-siakhw
33,2,'040219,10909,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1997,244,M-siakhw
33,2,'040220,10792,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1997,244,M-siakhw
33,2,'040221,10915,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1997,244,M-siakhw
33,2,'040222,10742,HERRING COVE 101-45,WHITMAN LAKE,WHITMAN LAKE H,1997,244,M-siakhw
33,2,'040223,10665,HERRING COVE 101-45,WHITMAN LAKE,WHITMAN LAKE H,1997,244,M-siakhw
33,2,'040224,10707,EARL WEST COV 107-40,WHITMAN LAKE,WHITMAN LAKE H,1997,244,M-siakhw
33,2,'040225,10709,EARL WEST COV 107-40,WHITMAN LAKE,WHITMAN LAKE H,1997,244,M-siakhw
33,2,'040226,10731,NAKAT INLET 101-10,WHITMAN LAKE,WHITMAN LAKE H,1997,244,M-siakhw
33,2,'040227,10696,NAKAT INLET 101-10,WHITMAN LAKE,WHITMAN LAKE H,1997,244,M-siakhw
33,2,'040228,10492,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1997,244,M-siakhw
33,2,'040229,10362,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1997,244,M-siakhw
33,2,'040230,10342,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1997,244,M-siakhw
33,2,'040231,10630,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1997,244,M-siakhw
33,2,'040232,10690,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1997,244,M-siakhw
33,2,'040242,10766,BURNETT INLET 106-22,BURNETT INLET,REFLECTION LK 101-80,1998,244,M-siakhw
33,2,'040243,10719,BURNETT INLET 106-22,BURNETT INLET,REFLECTION LK 101-80,1998,244,M-siakhw
31,2,'040249,9759,SLIPPERY CR 109-43,NA,SLIPPERY CR,1998,240,M-niakhw
31,2,'040250,2632,SLIPPERY CR 109-43,NA,SLIPPERY CR,1998,240,M-niakhw
31,2,'040251,22959,BERNERS R 115-20,NA,BERNERS R 115-20,2002,240,M-niakhw
30,2,'040252,10482,TAKU R 111-32,NA,TAKU R 111-32,1998,238,M-tranhw
30,2,'040253,10705,TAKU R 111-32,NA,TAKU R 111-32,1998,238,M-tranhw
30,2,'040254,10634,TAKU R 111-32,NA,TAKU R 111-32,1998,238,M-tranhw
30,2,'040255,9995,TAKU R 111-32,NA,TAKU R 111-32,1998,238,M-tranhw
33,2,'040258,11022,UNUK R 101-75,NA,UNUK R 101-75,1998,244,M-siakhw
33,2,'040259,10258,UNUK R 101-75,NA,UNUK R 101-75,1998,244,M-siakhw
31,2,'040260,9960,CHILKAT R 115-32,NA,CHILKAT R 115-32,1998,240,M-niakhw
31,2,'040261,10756,CHILKAT R 115-32,NA,CHILKAT R 115-32,1998,240,M-niakhw
33,2,'040268,10758,HERRING COVE 101-45,WHITMAN LAKE,WHITMAN LAKE H,1999,244,M-siakhw
33,2,'040269,10656,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1999,244,M-siakhw
33,2,'040270,10640,NAKAT INLET 101-10,WHITMAN LAKE,WHITMAN LAKE H,1999,244,M-siakhw
33,2,'040271,10703,NAKAT INLET 101-10,WHITMAN LAKE,WHITMAN LAKE H,1999,244,M-siakhw
33,2,'040272,10660,NAKAT INLET 101-10,WHITMAN LAKE,WHITMAN LAKE H,1999,244,M-siakhw
33,2,'040273,10308,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1999,244,M-siakhw
33,2,'040274,10619,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1999,244,M-siakhw
33,2,'040275,10667,HERRING COVE 101-45,WHITMAN LAKE,WHITMAN LAKE H,1999,244,M-siakhw
33,2,'040276,10491,ANITA BAY 107-30,WHITMAN LAKE,WHITMAN LAKE H,1999,244,M-siakhw
33,2,'040277,10456,ANITA BAY 107-30,WHITMAN LAKE,WHITMAN LAKE H,1999,244,M-siakhw
33,2,'040278,10979,BURNETT INLET 106-22,BURNETT INLET,KETCHIKAN CR,1999,244,M-siakhw
33,2,'040279,11529,BURNETT INLET 106-22,BURNETT INLET,KETCHIKAN CR,1999,244,M-siakhw
31,2,'040286,10518,SLIPPERY CR 109-43,NA,SLIPPERY CR,1999,240,M-niakhw
31,2,'040287,8675,SLIPPERY CR 109-43,NA,SLIPPERY CR,1999,240,M-niakhw
33,2,'040289,11711,UNUK R 101-75,NA,UNUK R 101-75,1999,244,M-siakhw
33,2,'040290,11660,UNUK R 101-75,NA,UNUK R 101-75,1999,244,M-siakhw
33,2,'040291,249,UNUK R 101-75,NA,UNUK R 101-75,1999,244,M-siakhw
30,2,'040293,11015,TAKU R 111-32,NA,TAKU R 111-32,1999,238,M-tranhw
30,2,'040294,11022,TAKU R 111-32,NA,TAKU R 111-32,1999,238,M-tranhw
30,2,'040295,1244,TAKU R 111-32,NA,TAKU R 111-32,1999,238,M-tranhw
31,2,'040298,5283,CHILKAT R 115-32,NA,CHILKAT R 115-32,1999,240,M-niakhw
32,2,'040355,21274,TAWAH CR 182-80,NA,TAWAH CR 182-80,1998,242,M-noakhw
32,2,'040356,1297,TAWAH CR 182-80,NA,TAWAH CR 182-80,1998,242,M-noakhw
30,2,'040360,2877,TAKU R 111-32,NA,TAKU R 111-32,1998,238,M-tranhw
31,2,'040361,4276,CHILKAT R 115-32,NA,CHILKAT R 115-32,1998,240,M-niakhw
32,2,'040367,1434,NAKWASINA R 113-43,NA,NAKWASINA R,1999,242,M-noakhw
32,2,'040368,1968,NAKWASINA R 113-43,NA,NAKWASINA R,1999,242,M-noakhw
32,2,'040369,1245,NAKWASINA R 113-43,NA,NAKWASINA R,2000,242,M-noakhw
31,2,'040370,3401,AUKE CR 111-50,NA,AUKE CR,2000,240,M-niakhw
31,2,'040371,3418,CHILKAT R 115-32,NA,CHILKAT R 115-32,2000,240,M-niakhw
31,2,'040372,12290,BERNERS R 115-20,NA,BERNERS R 115-20,2014,240,M-niakhw
33,2,'040375,22651,HUGH SMITH LK 101-30,NA,HUGH SMITH LK 101-30,2004,244,M-siakhw
32,2,'040376,21480,SITUK R 182-70,NA,SITUK R,2002,242,M-noakhw
31,2,'040378,15874,SLIPPERY CR 109-43,NA,SLIPPERY CR,2000,240,M-niakhw
31,2,'040379,10159,PORT ARMSTRONG109-10,PORT ARMSTRONG,HIDDEN FALLS H,1999,240,M-niakhw
31,2,'040380,10166,PORT ARMSTRONG109-10,PORT ARMSTRONG,HIDDEN FALLS H,1999,240,M-niakhw
31,2,'040381,10144,PORT ARMSTRONG109-10,PORT ARMSTRONG,HIDDEN FALLS H,1999,240,M-niakhw
31,2,'040382,10170,PORT ARMSTRONG109-10,PORT ARMSTRONG,HIDDEN FALLS H,1999,240,M-niakhw
31,2,'040383,10259,PORT ARMSTRONG109-10,PORT ARMSTRONG,HIDDEN FALLS H,1999,240,M-niakhw
31,2,'040384,10153,PORT ARMSTRONG109-10,PORT ARMSTRONG,HIDDEN FALLS H,1999,240,M-niakhw
31,2,'040385,10251,PORT ARMSTRONG109-10,PORT ARMSTRONG,HIDDEN FALLS H,1999,240,M-niakhw
31,2,'040386,10239,PORT ARMSTRONG109-10,PORT ARMSTRONG,HIDDEN FALLS H,1999,240,M-niakhw
31,2,'040387,10295,PORT ARMSTRONG109-10,PORT ARMSTRONG,HIDDEN FALLS H,1999,240,M-niakhw
31,2,'040388,10235,PORT ARMSTRONG109-10,PORT ARMSTRONG,HIDDEN FALLS H,1999,240,M-niakhw
31,2,'040389,20526,GASTINEAU CH 111-40,MACAULAY,MACAULAY H,1999,240,M-niakhw
31,2,'040390,19711,GASTINEAU CH 111-40,MACAULAY,MACAULAY H,1999,240,M-niakhw
31,2,'040391,18718,GASTINEAU CH 111-40,MACAULAY,MACAULAY H,1999,240,M-niakhw
31,2,'040392,8053,THANE NET PENS 111-40,MACAULAY,MACAULAY H,1999,240,M-niakhw
31,2,'040396,10337,CHILKAT R 115-32,NA,CHILKAT R 115-32,1999,240,M-niakhw
31,2,'040397,9695,CHILKAT R 115-32,NA,CHILKAT R 115-32,1999,240,M-niakhw
31,2,'040398,10662,CHILKAT R 115-32,NA,CHILKAT R 115-32,1999,240,M-niakhw
33,2,'040399,6018,CHICKAMIN R 101-71,NA,CHICKAMIN R 101-71,2000,244,M-siakhw
32,2,'040416,5438,NAKWASINA R 113-43,NA,NAKWASINA R,1998,242,M-noakhw
32,2,'040417,1831,NAKWASINA R 113-43,NA,NAKWASINA R,1998,242,M-noakhw
32,2,'040418,3040,NAKWASINA R 113-43,NA,NAKWASINA R,1998,242,M-noakhw
33,2,'040421,33763,CRYSTAL CR 106-44,CRYSTAL LAKE,CRYSTAL CR,1998,244,M-siakhw
33,2,'040424,20047,KETCHIKAN CR 101-47,DEER MOUNTAIN,KETCHIKAN CR,1998,244,M-siakhw
33,2,'040425,29871,WARD LK 101-47,DEER MOUNTAIN,KETCHIKAN CR,1998,244,M-siakhw
33,2,'040433,10506,HERRING COVE 101-45,WHITMAN LAKE,WHITMAN LAKE H,1998,244,M-siakhw
33,2,'040434,10350,HERRING COVE 101-45,WHITMAN LAKE,WHITMAN LAKE H,1998,244,M-siakhw
33,2,'040435,10478,NAKAT INLET 101-10,WHITMAN LAKE,WHITMAN LAKE H,1998,244,M-siakhw
33,2,'040436,10404,NAKAT INLET 101-10,WHITMAN LAKE,WHITMAN LAKE H,1998,244,M-siakhw
33,2,'040437,10500,EARL WEST COV 107-40,WHITMAN LAKE,WHITMAN LAKE H,1998,244,M-siakhw
33,2,'040438,10362,EARL WEST COV 107-40,WHITMAN LAKE,WHITMAN LAKE H,1998,244,M-siakhw
33,2,'040439,10410,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1998,244,M-siakhw
33,2,'040440,10487,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1998,244,M-siakhw
33,2,'040441,10407,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1998,244,M-siakhw
33,2,'040442,11008,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1998,244,M-siakhw
33,2,'040443,10985,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1998,244,M-siakhw
33,2,'040444,10998,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1998,244,M-siakhw
33,2,'040445,10872,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1998,244,M-siakhw
33,2,'040446,11047,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1998,244,M-siakhw
33,2,'040447,11024,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1998,244,M-siakhw
33,2,'040448,10928,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1998,244,M-siakhw
33,2,'040449,11028,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,1998,244,M-siakhw
33,2,'040452,7241,CHICKAMIN R 101-71,NA,CHICKAMIN R 101-71,2001,244,M-siakhw
30,2,'040454,11492,TAKU R 111-32,NA,TAKU R 111-32,1999,238,M-tranhw
30,2,'040455,10939,TAKU R 111-32,NA,TAKU R 111-32,1999,238,M-tranhw
30,2,'040456,5185,TAKU R 111-32,NA,TAKU R 111-32,1999,238,M-tranhw
33,2,'040462,10898,STIKINE R 108-40,NA,STIKINE R 108-40,1999,244,M-siakhw
33,2,'040464,9306,STIKINE R 108-40,NA,STIKINE R 108-40,1999,244,M-siakhw
33,2,'040465,2058,STIKINE R 108-40,NA,STIKINE R 108-40,1999,244,M-siakhw
32,2,'040466,6979,NAKWASINA R 113-43,NA,NAKWASINA R,1999,242,M-noakhw
33,2,'040468,1089,HUGH SMITH LK 101-30,NA,HUGH SMITH LK 101-30,2002,244,M-siakhw
33,2,'040469,11418,HUGH SMITH LK 101-30,NA,HUGH SMITH LK 101-30,2000,244,M-siakhw
33,2,'040470,7515,HUGH SMITH LK 101-30,NA,HUGH SMITH LK 101-30,2000,244,M-siakhw
31,2,'040471,12215,BERNERS R 115-20,NA,BERNERS R 115-20,2001,240,M-niakhw
32,2,'040472,1958,SITUK R 182-70,NA,SITUK R,2002,242,M-noakhw
32,2,'040473,7580,TAWAH CR 182-80,NA,TAWAH CR 182-80,2002,242,M-noakhw
32,2,'040474,6483,FORD ARM LK 113-73,NA,FORD ARM LK 113-73,2002,242,M-noakhw
32,2,'040475,6492,SITUK R 182-70,NA,SITUK R,2002,242,M-noakhw
31,2,'040476,23147,BERNERS R 115-20,NA,BERNERS R 115-20,2000,240,M-niakhw
33,2,'040477,15572,HUGH SMITH LK 101-30,NA,HUGH SMITH LK 101-30,2001,244,M-siakhw
32,2,'040478,8858,FORD ARM LK 113-73,NA,FORD ARM LK 113-73,2001,242,M-noakhw
33,2,'040479,11169,HUGH SMITH LK 101-30,NA,HUGH SMITH LK 101-30,2002,244,M-siakhw
32,2,'040480,11820,AHRNKLIN R 182-70,NA,AHRNKLIN RIVER,2002,242,M-noakhw
32,2,'040481,8026,AHRNKLIN R 182-70,NA,AHRNKLIN RIVER,2002,242,M-noakhw
33,2,'040482,11259,HUGH SMITH LK 101-30,NA,HUGH SMITH LK 101-30,2002,244,M-siakhw
33,2,'040483,6323,HUGH SMITH LK 101-30,NA,HUGH SMITH LK 101-30,2003,244,M-siakhw
32,2,'040484,10458,FORD ARM LK 113-73,NA,FORD ARM LK 113-73,2005,242,M-noakhw
32,2,'040485,10477,FORD ARM LK 113-73,NA,FORD ARM LK 113-73,2006,242,M-noakhw
31,2,'040486,24372,BERNERS R 115-20,NA,BERNERS R 115-20,2001,240,M-niakhw
32,2,'040487,22610,TAWAH CR 182-80,NA,TAWAH CR 182-80,2002,242,M-noakhw
32,2,'040488,22035,SITUK R 182-70,NA,SITUK R,2003,242,M-noakhw
33,2,'040489,23123,KETCHIKAN CR 101-47,DEER MOUNTAIN,KETCHIKAN CR,2000,244,M-siakhw
33,2,'040491,33872,WARD LK 101-47,DEER MOUNTAIN,KETCHIKAN CR,2000,244,M-siakhw
33,2,'040492,10821,CRYSTAL CR 106-44,CRYSTAL LAKE,CRYSTAL CR,2000,244,M-siakhw
33,2,'040493,10884,CRYSTAL CR 106-44,CRYSTAL LAKE,CRYSTAL CR,2000,244,M-siakhw
33,2,'040494,11471,CRYSTAL CR 106-44,CRYSTAL LAKE,CRYSTAL CR,2000,244,M-siakhw
33,2,'040522,6763,CHICKAMIN R 101-71,NA,CHICKAMIN R 101-71,2000,244,M-siakhw
34,2,'040527,8993,CHUCK CR 103-80,NA,CHUCK CR 103-80,2000,246,M-soakhw
34,2,'040528,11352,CHUCK CR 103-80,NA,CHUCK CR 103-80,2001,246,M-soakhw
34,2,'040529,11658,CHUCK CR 103-80,NA,CHUCK CR 103-80,2001,246,M-soakhw
32,2,'040530,3566,NAKWASINA R 113-43,NA,NAKWASINA R,2000,242,M-noakhw
32,2,'040531,874,NAKWASINA R 113-43,NA,NAKWASINA R,2000,242,M-noakhw
33,2,'040535,11602,STIKINE R 108-40,NA,STIKINE R 108-40,2002,244,M-siakhw
33,2,'040536,8042,UNUK R 101-75,NA,UNUK R 101-75,2000,244,M-siakhw
33,2,'040537,5303,UNUK R 101-75,NA,UNUK R 101-75,2000,244,M-siakhw
30,2,'040544,10796,TAKU R 111-32,NA,TAKU R 111-32,2000,238,M-tranhw
33,2,'040547,1921,STIKINE R 108-40,NA,STIKINE R 108-40,2000,244,M-siakhw
33,2,'040548,12798,STIKINE R 108-40,NA,STIKINE R 108-40,2000,244,M-siakhw
30,2,'040550,2752,TAKU R 111-32,NA,TAKU R 111-32,2000,238,M-tranhw
30,2,'040551,9714,TAKU R 111-32,NA,TAKU R 111-32,2000,238,M-tranhw
31,2,'040552,21871,CHILKAT R 115-32,NA,CHILKAT R 115-32,2000,240,M-niakhw
31,2,'040556,20128,GASTINEAU CH 111-40,MACAULAY,MACAULAY H,2000,240,M-niakhw
31,2,'040557,20673,GASTINEAU CH 111-40,MACAULAY,MACAULAY H,2000,240,M-niakhw
31,2,'040558,20611,GASTINEAU CH 111-40,MACAULAY,MACAULAY H,2000,240,M-niakhw
31,2,'040559,20765,GASTINEAU CH 111-40,MACAULAY,MACAULAY H,2000,240,M-niakhw
31,2,'040562,5538,THANE NET PENS 111-40,MACAULAY,(GG X NN)  &  (NN X,2000,240,M-niakhw
31,2,'040564,7577,THANE NET PENS 111-40,MACAULAY,(HN X NH) & (NH X HN,2000,240,M-niakhw
31,2,'040565,4534,THANE NET PENS 111-40,MACAULAY,(GG X HH) & (HH X GG,2000,240,M-niakhw
31,2,'040566,6156,THANE NET PENS 111-40,MACAULAY,(GH X HG) & (HG X GH,2000,240,M-niakhw
31,2,'040567,6896,THANE NET PENS 111-40,MACAULAY,NN X NN,2000,240,M-niakhw
31,2,'040568,6441,THANE NET PENS 111-40,MACAULAY,(HH X NN) & (NN X HH,2000,240,M-niakhw
31,2,'040569,7066,THANE NET PENS 111-40,MACAULAY,(GH X HG) & (HG X GH,2000,240,M-niakhw
31,2,'040570,6472,THANE NET PENS 111-40,MACAULAY,(HH X NN) & (NN X HH,2000,240,M-niakhw
31,2,'040571,5772,THANE NET PENS 111-40,MACAULAY,(GN X NG) & (NG X GN,2000,240,M-niakhw
31,2,'040572,5537,THANE NET PENS 111-40,MACAULAY,(GG X NN)  &  (NN X,2000,240,M-niakhw
31,2,'040573,4882,THANE NET PENS 111-40,MACAULAY,(GG X HH) & (HH X GG,2000,240,M-niakhw
31,2,'040574,6591,THANE NET PENS 111-40,MACAULAY,(HN X NH) & (NH X HN,2000,240,M-niakhw
31,2,'040575,4764,THANE NET PENS 111-40,MACAULAY,GG X GG,2000,240,M-niakhw
31,2,'040576,5390,THANE NET PENS 111-40,MACAULAY,HH X HH,2000,240,M-niakhw
31,2,'040577,7055,THANE NET PENS 111-40,MACAULAY,(GN X NG) & (NG X GN,2000,240,M-niakhw
33,2,'040645,11497,NAKAT INLET 101-10,WHITMAN LAKE,WHITMAN LAKE H,2000,244,M-siakhw
33,2,'040646,11345,NAKAT INLET 101-10,WHITMAN LAKE,WHITMAN LAKE H,2000,244,M-siakhw
33,2,'040647,11086,NAKAT INLET 101-10,WHITMAN LAKE,WHITMAN LAKE H,2000,244,M-siakhw
33,2,'040648,11360,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,2000,244,M-siakhw
33,2,'040649,11033,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,2000,244,M-siakhw
33,2,'040650,10973,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,2000,244,M-siakhw
33,2,'040651,11455,HERRING COVE 101-45,WHITMAN LAKE,WHITMAN LAKE H,2000,244,M-siakhw
33,2,'040652,11164,HERRING COVE 101-45,WHITMAN LAKE,WHITMAN LAKE H,2000,244,M-siakhw
33,2,'040653,11059,ANITA BAY 107-30,WHITMAN LAKE,WHITMAN LAKE H,2000,244,M-siakhw
33,2,'040654,10628,ANITA BAY 107-30,WHITMAN LAKE,WHITMAN LAKE H,2000,244,M-siakhw
33,2,'040666,11376,BURNETT INLET 106-22,BURNETT INLET,BURNETT INLET H,2000,244,M-siakhw
33,2,'040667,10911,BURNETT INLET 106-22,BURNETT INLET,BURNETT INLET H,2000,244,M-siakhw
33,2,'040668,10897,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,2000,244,M-siakhw
33,2,'040669,10296,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,2000,244,M-siakhw
33,2,'040670,10649,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,2000,244,M-siakhw
33,2,'040671,10585,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,2000,244,M-siakhw
33,2,'040672,11018,NEETS BAY 101-90,NEETS BAY,WHITMAN LAKE H,2000,244,M-siakhw
33,2,'040673,8915,CRYSTAL CR 106-44,CRYSTAL LAKE,CRYSTAL CR,2001,244,M-siakhw
33,2,'040674,10894,NECK LK 106-30,BURNETT INLET,BURNETT INLET H,2001,244,M-siakhw
33,2,'040675,11116,NECK LK 106-30,BURNETT INLET,BURNETT INLET H,2001,244,M-siakhw
31,2,'040676,10070,PORT ARMSTRONG109-10,PORT ARMSTRONG,HIDDEN FALLS H,2000,240,M-niakhw
31,2,'040677,10048,PORT ARMSTRONG109-10,PORT ARMSTRONG,HIDDEN FALLS H,2000,240,M-niakhw
31,2,'040678,10045,PORT ARMSTRONG109-10,PORT ARMSTRONG,HIDDEN FALLS H,2000,240,M-niakhw
31,2,'040679,10065,PORT ARMSTRONG109-10,PORT ARMSTRONG,HIDDEN FALLS H,2000,240,M-niakhw
31,2,'040680,9981,PORT ARMSTRONG109-10,PORT ARMSTRONG,HIDDEN FALLS H,2000,240,M-niakhw
31,2,'040681,10072,PORT ARMSTRONG109-10,PORT ARMSTRONG,HIDDEN FALLS H,2000,240,M-niakhw
31,2,'040682,8661,PORT ARMSTRONG109-10,PORT ARMSTRONG,HIDDEN FALLS H,2000,240,M-niakhw
33,2,'040683,3845,NECK LK 106-30,BURNETT INLET,REFLECTION LK 101-80,2000,244,M-siakhw
32,2,'040684,8969,BEAR COVE 113-41,MEDVEJIE,MEDVEJIE H,2002,242,M-noakhw
34,2,'040685,115358,KLAWOCK R 103-60,KLAWOCK RIVER,KLAWOCK R,2000,246,M-soakhw
32,2,'040686,33,FALSE ISLAND CR 113-51,NA,FALSE ISLD CR 113-51,2001,242,M-noakhw
32,2,'040687,93,APPLETON CR 113-54,NA,APPLETON CR 113-54,2001,242,M-noakhw
31,2,'040693,19260,KASNYKU BAY 112-11,HIDDEN FALLS,HIDDEN FALLS H,2002,240,M-niakhw
31,2,'040694,18321,KASNYKU BAY 112-11,HIDDEN FALLS,HIDDEN FALLS H,2002,240,M-niakhw
32,2,'040697,10000,CRESCENT BAY 113-41,SHELDON JACKSON,SHELDON JACKSON H,2001,242,M-noakhw
32,2,'040698,9763,BEAR COVE 113-41,MEDVEJIE,MEDVEJIE H,2001,242,M-noakhw
31,2,'040711,9750,DEER LK 109-10,HIDDEN FALLS,HIDDEN FALLS H,2013,240,M-niakhw
32,2,'040712,4616,SALMON LK 113-41,NA,SALMON LK 113-41,2000,242,M-noakhw
31,2,'040713,7356,DEER LK 109-10,HIDDEN FALLS,HIDDEN FALLS H,2013,240,M-niakhw
